agency_name,city,state,agency_type,agency_latitude,agency_longitude,ft_sworn,agency_population,validated_week_name,record_month,validated_day,record_year
Prowers County Sheriffs Office / Prowers County Jail,Lamar,CO,Sheriff'S Office,38.086433,-102.61838,9,30,Wednesday,May,23,2018
Fremont County Sheriffs Office / Freemont County Detention Center,Canon City,CO,Sheriff'S Office,38.446266,-105.182045,35,85,Friday,May,25,2018
Huerfano County Sheriffs Office / Huerfano County Detention Center,Walsenburg,CO,Sheriff'S Office,37.624046,-104.78219,11,24,Wednesday,May,23,2018
Los Angeles Police Department - Northeast Community Police Station,Los Angeles,CA,Local Police Department,34.11916,-118.249405,-999,-999,Monday,July,16,2018
Hinsdale County Sheriffs Office,Lake City,CO,Sheriff'S Office,38.028847,-107.31494,4,5,Wednesday,July,25,2018
Stephens County Sheriffs Office,Toccoa,GA,Sheriff'S Office,34.579765,-83.331985,31,71,Monday,June,4,2018
Haralson County Marshals Office,Buchanan,GA,Constable/Marshal,33.802437,-85.18909,1,2,Thursday,May,31,2018
Richmond County Marshals Office,Augusta,GA,Constable/Marshal,33.47112,-81.96179,42,48,Thursday,May,31,2018
Clay County Sheriffs Department,Fort Gaines,GA,Sheriff'S Office,31.604214,-85.04788,4,10,Thursday,May,31,2018
Atkinson County Sheriffs Office / Atkinson County Jail,Pearson,GA,Sheriff'S Office,31.295715,-82.85358,6,12,Friday,June,1,2018
Chattooga County Sheriffs Department / Chattooga County Jail,Summerville,GA,Sheriff'S Office,34.480644,-85.3485,22,54,Friday,May,25,2018
Randolph County Sheriffs Office / Randolph County Jail,Cuthbert,GA,Sheriff'S Office,31.792936,-84.75739,7,17,Wednesday,May,30,2018
Heard County Sheriffs Office / Heard County Jail,Franklin,GA,Sheriff'S Office,33.292202,-85.11679,18,36,Friday,June,1,2018
Blanchard Police Department,Shreveport,LA,Local Police Department,32.583416,-93.89073,5,6,Tuesday,February,12,2019
Louisiana State University At Alexandria University Police,Alexandria,LA,Special Jurisdiction,31.178461,-92.41693,4,4,Thursday,February,14,2019
Baldwin Park Unified School District Police,Baldwin Park,CA,Special Jurisdiction,34.081913,-117.96116,9,13,Tuesday,May,29,2018
Oakland Housing Authority Police Department,Oakland,CA,Special Jurisdiction,37.78071,-122.23456,17,25,Tuesday,May,29,2018
Table Mountain Tribal Police Department,Friant,CA,Local Police Department,36.98459,-119.63958,11,20,Wednesday,May,30,2018
San Francisco Sheriff'S Department,San Francisco,CA,Sheriff'S Office,37.779278,-122.419304,838,1013,Wednesday,May,30,2018
Southern University Baton Rouge Campus William Lee Pass Police Station,Baton Rouge,LA,Special Jurisdiction,30.52601,-91.190956,43,68,Thursday,February,14,2019
Los Angeles School Police Department,Los Angeles,CA,Special Jurisdiction,34.04269,-118.27401,340,526,Monday,July,23,2018
Laguna Beach Police Department,Laguna Beach,CA,Local Police Department,33.545483,-117.78117,46,77,Monday,July,23,2018
Avondale Police Department,Avondale,AZ,Local Police Department,33.443,-112.304634,101,167,Tuesday,July,10,2018
El Portal Police Department,Miami,FL,Local Police Department,25.854893,-80.18771,8,8,Wednesday,August,1,2018
Melbourne Village Police Department,Melbourne,FL,Local Police Department,28.087389,-80.66488,5,5,Monday,July,30,2018
Punta Gorda Police Department,Punta Gorda,FL,Local Police Department,26.92553,-82.04671,35,51,Monday,July,30,2018
Gretna Police Department,Gretna,FL,Local Police Department,30.618883,-84.66308,5,5,Tuesday,July,31,2018
Cocoa Beach Police Department,Cocoa Beach,FL,Local Police Department,28.317884,-80.6104,34,50,Monday,July,30,2018
Kissimmee Police Department,Kissimmee,FL,Local Police Department,28.29249,-81.40855,136,211,Thursday,August,2,2018
Marion Harbor Patrol Police,Marion,MA,Special Jurisdiction,41.705048,-70.76119,2,2,Friday,September,7,2018
University Of Massachusetts Worcester Police Department,Worcester,MA,Special Jurisdiction,42.275127,-71.76236,20,30,Friday,September,7,2018
Massachusetts Environmental Police - Headquarters,Boston,MA,Special Jurisdiction,42.36633,-71.05889,101,101,Friday,September,7,2018
Massachusetts College Of Art Campus Security - Public Safety,Boston,MA,Special Jurisdiction,42.336857,-71.099396,9,23,Monday,September,10,2018
Middlebury Police Department,Middlebury,CT,Local Police Department,41.518936,-73.137184,11,17,Thursday,July,26,2018
Marco Island Police Department,Marco Island,FL,Local Police Department,25.93805,-81.71536,32,34,Monday,July,30,2018
Jupiter Police Department,Jupiter,FL,Local Police Department,26.931812,-80.10264,102,134,Thursday,August,2,2018
Coconut Creek Police Department,Coconut Creek,FL,Local Police Department,26.25856,-80.187645,89,132,Monday,July,30,2018
De Land Police Department,De Land,FL,Local Police Department,29.026709,-81.30696,60,79,Monday,August,6,2018
Delta Police Department,Delta,CO,Local Police Department,38.740578,-108.0731,14,20,Tuesday,July,24,2018
Hotchkiss Police Department,Hotchkiss,CO,Local Police Department,38.80032,-107.72383,3,3,Wednesday,July,25,2018
New Castle Police Department,New Castle,CO,Local Police Department,39.571648,-107.535,7,8,Wednesday,July,25,2018
Aspen Police Department,Aspen,CO,Local Police Department,39.19071,-106.81765,23,32,Tuesday,July,24,2018
Lakewood Police Department,Lakewood,CO,Local Police Department,39.707645,-105.08603,282,425,Wednesday,July,25,2018
Healdsburg Police Department,Healdsburg,CA,Local Police Department,38.609924,-122.868996,19,31,Tuesday,July,24,2018
Earlington Police Department,Earlington,KY,Local Police Department,37.273865,-87.51285,1,1,Thursday,August,9,2018
Luke Police Department,Luke,MD,Local Police Department,39.473503,-79.058784,1,1,Tuesday,August,7,2018
